metarea,immig_stem_change,native_coll_wkwage_change,native_non_coll_wkwage_change
"Abilene, TX",0.012,-5.437,8.738
"Akron, OH",0.494,5.518,-4.097
"Albany, GA",-0.714,-6.443,-6.621
"Albany-Schenectady-Troy, NY",0.716,8.016,6.052
"Albuquerque, NM",0.501,9.78,10.647
"Alexandria, LA",-0.06,3.705,18.084
"Allentown-Bethlehem-Easton, PA/NJ",0.435,8.783,3.503
"Altoona, PA",0.153,15.698,6.409
"Amarillo, TX",0.42,15.169,4.973
"Anchorage, AK",0.178,2.745,-8.338
"Ann Arbor, MI",1.85,16.939,0.223
"Anniston, AL",0.116,7.048,15.012
"Appleton-Oshkosh-Neenah, WI",0.326,4.037,8.491
"Asheville, NC",0.238,5.667,-5.112
"Athens, GA",0.088,-1.011,-8.961
"Atlanta, GA",1.976,9.111,-3.224
"Atlantic City, NJ",0.814,18.44,3.072
"Auburn-Opekika, AL",-0.5,-27.02,-33.992
"Augusta-Aiken, GA-SC",0.305,6.195,-8.756
"Austin, TX",3.488,25.278,14.644
"Bakersfield, CA",0.357,3.282,-2.181
"Baltimore, MD",1.161,16.715,7.2
"Barnstable-Yarmouth, MA",-1.36,-8.05,-6.542
"Baton Rouge, LA",0.364,10.075,6.758
"Beaumont-Port Arthur-Orange,TX",0.084,5.677,3.846
"Bellingham, WA",0.173,-2.148,-0.139
"Benton Harbor, MI",0.049,12.272,-4.649
"Billings, MT",0,12.316,21.435
"Biloxi-Gulfport, MS",-0.095,21.849,11.558
"Binghamton, NY",0.24,4.598,0.229
"Birmingham, AL",0.274,8.911,4.007
"Bloomington, IN",0.585,4.732,-7.861
"Bloomington-Normal, IL",2.589,12.997,1.192
"Boise City, ID",1.793,5.071,3.827
"Boston, MA-NH",2.018,23.891,1.254
"Bremerton, WA",0.279,15.568,6.062
"Bridgeport, CT",0.621,43.445,-2.446
"Brockton, MA",1.261,6.689,9.707
"Brownsville-Harlingen-San Benito, TX",0.326,6.17,6.163
"Bryan-College Station, TX",0.722,19.996,-4.53
"Buffalo-Niagara Falls, NY",0.257,5.766,3.993
"Canton, OH",0.11,2.165,-3.063
"Cedar Rapids, IA",0.287,12.05,1.206
"Champaign-Urbana-Rantoul, IL",1.017,16.137,-0.228
"Charleston-N.Charleston,SC",0.189,10.397,2.714
"Charlotte-Gastonia-Rock Hill, NC-SC",1.201,19.959,-0.63
"Charlottesville, VA",-0.765,-8.089,2.586
"Chattanooga, TN/GA",0.206,6.185,-0.883
"Chicago, IL",0.989,13.455,-2.548
"Chico, CA",0.282,3.46,3.747
"Cincinnati-Hamilton, OH/KY/IN",0.519,10.458,-1.081
"Clarksville- Hopkinsville, TN/KY",0.132,1.259,8.168
"Cleveland, OH",0.456,2.741,-8.128
"Colorado Springs, CO",0.547,16.587,3.87
